0.0 0
0.0022056 4294967295
ssthresh 0.371909: 14280
ssthresh 0.372539: 14280
ssthresh 0.37317: 14280
ssthresh 0.3738: 14280
ssthresh 0.37443: 14280
ssthresh 0.375061: 14280
ssthresh 0.375691: 14280
ssthresh 0.376322: 14280
ssthresh 0.376952: 14280
ssthresh 0.377582: 14280
ssthresh 0.378213: 14280
ssthresh 0.378843: 14280
ssthresh 0.379474: 14280
ssthresh 0.380104: 14280
ssthresh 0.380734: 14280
ssthresh 0.381365: 14280
ssthresh 0.381995: 14280
ssthresh 0.382626: 14280
ssthresh 0.383256: 14280
ssthresh 0.383886: 14280
ssthresh 0.384517: 14280
ssthresh 0.385147: 14280
ssthresh 0.385778: 14280
ssthresh 0.386408: 14280
ssthresh 0.387038: 14280
ssthresh 0.387669: 14280
ssthresh 0.388299: 14280
ssthresh 0.38893: 14280
ssthresh 0.38956: 14280
ssthresh 0.39019: 14280
ssthresh 0.390821: 14280
ssthresh 0.391451: 14280
ssthresh 0.392082: 14280
ssthresh 0.392712: 14280
ssthresh 0.393342: 14280
ssthresh 0.393973: 14280
ssthresh 0.394603: 14280
ssthresh 0.395234: 14280
ssthresh 0.395864: 14280
ssthresh 0.396494: 14280
ssthresh 0.397125: 14280
ssthresh 0.397755: 14280
ssthresh 0.398386: 14280
ssthresh 0.399016: 14280
ssthresh 0.399646: 14280
ssthresh 0.400277: 14280
ssthresh 0.400907: 14280
ssthresh 0.401538: 14280
ssthresh 0.402168: 14280
ssthresh 0.402798: 14280
ssthresh 0.403429: 14280
ssthresh 0.404059: 14280
ssthresh 0.40469: 14280
ssthresh 0.40532: 14280
ssthresh 0.40595: 14280
ssthresh 0.406581: 14280
ssthresh 0.407211: 14280
ssthresh 0.407842: 14280
ssthresh 0.408472: 14280
ssthresh 0.409102: 14280
ssthresh 0.409733: 14280
ssthresh 0.410363: 14280
ssthresh 0.410994: 14280
ssthresh 0.411624: 14280
ssthresh 0.412254: 14280
ssthresh 0.412885: 14280
ssthresh 0.413515: 14280
ssthresh 0.414146: 14280
ssthresh 0.414776: 14280
ssthresh 0.415406: 14280
ssthresh 0.416037: 14280
ssthresh 0.416667: 14280
ssthresh 0.417298: 14280
ssthresh 0.417928: 14280
ssthresh 0.418558: 14280
ssthresh 0.419189: 14280
ssthresh 0.419819: 14280
ssthresh 0.42045: 14280
ssthresh 0.42108: 14280
ssthresh 0.42171: 14280
ssthresh 0.422341: 14280
ssthresh 0.422971: 14280
ssthresh 0.423602: 14280
ssthresh 0.424232: 14280
ssthresh 0.424862: 14280
