0.0 0
cwnd 0.345432: 15464
cwnd 0.346062: 15471
cwnd 0.346693: 15478
cwnd 0.347323: 15485
cwnd 0.347954: 15492
cwnd 0.348584: 15499
cwnd 0.349214: 15506
cwnd 0.349845: 15513
cwnd 0.350475: 15520
cwnd 0.351106: 15527
cwnd 0.351736: 15534
cwnd 0.352366: 15541
cwnd 0.352997: 15548
cwnd 0.353627: 15555
cwnd 0.354258: 15562
cwnd 0.354888: 15569
cwnd 0.355518: 15576
cwnd 0.356149: 15583
cwnd 0.356779: 15590
cwnd 0.35741: 15597
cwnd 0.35804: 15604
cwnd 0.35867: 15611
cwnd 0.359301: 15618
cwnd 0.359931: 15625
cwnd 0.360562: 15632
cwnd 0.361192: 15639
cwnd 0.361822: 15646
cwnd 0.362453: 15653
cwnd 0.363083: 15660
cwnd 0.363714: 15667
cwnd 0.364344: 15674
cwnd 0.364974: 15681
cwnd 0.365605: 15688
cwnd 0.366235: 15695
cwnd 0.366866: 15702
cwnd 0.367496: 15709
cwnd 0.368126: 15716
cwnd 0.368757: 15723
cwnd 0.369387: 15730
cwnd 0.370018: 15737
cwnd 0.370648: 15744
cwnd 0.371278: 15751
cwnd 0.371909: 15758
cwnd 0.372539: 15765
cwnd 0.37317: 15772
cwnd 0.3738: 15779
cwnd 0.37443: 15786
cwnd 0.375061: 15793
cwnd 0.375691: 15800
cwnd 0.376322: 15807
cwnd 0.376952: 15814
cwnd 0.377582: 15821
cwnd 0.378213: 15828
cwnd 0.378843: 15835
cwnd 0.379474: 15842
cwnd 0.380104: 15849
cwnd 0.380734: 15856
cwnd 0.381365: 15863
cwnd 0.381995: 15870
cwnd 0.382626: 15877
cwnd 0.383256: 15884
cwnd 0.383886: 15891
cwnd 0.384517: 15898
cwnd 0.385147: 15905
cwnd 0.385778: 15912
cwnd 0.386408: 15919
cwnd 0.387038: 15926
cwnd 0.387669: 15933
cwnd 0.388299: 15940
cwnd 0.38893: 15947
cwnd 0.38956: 15954
cwnd 0.39019: 15961
cwnd 0.390821: 15968
cwnd 0.391451: 15975
cwnd 0.392082: 15982
cwnd 0.392712: 15989
cwnd 0.393342: 15996
cwnd 0.393973: 16003
cwnd 0.394603: 16010
cwnd 0.395234: 16017
cwnd 0.395864: 16024
cwnd 0.396494: 16031
cwnd 0.397125: 16038
cwnd 0.397755: 16045
cwnd 0.398386: 16052
cwnd 0.399016: 16059
cwnd 0.399646: 16066
cwnd 0.400277: 16073
cwnd 0.400907: 16080
cwnd 0.401538: 16087
cwnd 0.402168: 16094
cwnd 0.402798: 16101
cwnd 0.403429: 16108
cwnd 0.404059: 16115
cwnd 0.40469: 16122
cwnd 0.40532: 16129
cwnd 0.40595: 16136
cwnd 0.406581: 16143
cwnd 0.407211: 16150
cwnd 0.407842: 16157
cwnd 0.408472: 16164
cwnd 0.409102: 16171
cwnd 0.409733: 16178
cwnd 0.410363: 16185
cwnd 0.410994: 16192
cwnd 0.411624: 16199
cwnd 0.412254: 16206
cwnd 0.412885: 16213
cwnd 0.413515: 16220
cwnd 0.414146: 16227
cwnd 0.414776: 16234
cwnd 0.415406: 16241
cwnd 0.416037: 16248
cwnd 0.416667: 16255
cwnd 0.417298: 16262
cwnd 0.417928: 16269
cwnd 0.418558: 16276
cwnd 0.419189: 16283
cwnd 0.419819: 16290
cwnd 0.42045: 16297
cwnd 0.42108: 16304
cwnd 0.42171: 16311
cwnd 0.422341: 16318
cwnd 0.422971: 16325
cwnd 0.423602: 16332
cwnd 0.424232: 16339
cwnd 0.424862: 16346
cwnd 0.425493: 16353
cwnd 0.426123: 16360
cwnd 0.426754: 16367
cwnd 0.427384: 16374
cwnd 0.428014: 16381
cwnd 0.428645: 16388
cwnd 0.429275: 16395
cwnd 0.429906: 16402
cwnd 0.430536: 16409
cwnd 0.431166: 16416
cwnd 0.431797: 16423
cwnd 0.432427: 16430
cwnd 0.433058: 16437
cwnd 0.433688: 16444
cwnd 0.434318: 16451
cwnd 0.434949: 16458
cwnd 0.435579: 16465
cwnd 0.43621: 16472
cwnd 0.43684: 16479
cwnd 0.43747: 16486
cwnd 0.438101: 16493
cwnd 0.438731: 16500
cwnd 0.439362: 16507
cwnd 0.439992: 16514
cwnd 0.440622: 16521
cwnd 0.441253: 16527
cwnd 0.441883: 16533
cwnd 0.442514: 16539
cwnd 0.443144: 16545
cwnd 0.443774: 16551
cwnd 0.444405: 16557
cwnd 0.445035: 16563
cwnd 0.445666: 16569
cwnd 0.446296: 16575
cwnd 0.446926: 16581
cwnd 0.447557: 16587
cwnd 0.448187: 16593
cwnd 0.448818: 16599
cwnd 0.449448: 16605
cwnd 0.450078: 16611
cwnd 0.450709: 16617
cwnd 0.451339: 16623
cwnd 0.45197: 16629
cwnd 0.4526: 16635
cwnd 0.45323: 16641
cwnd 0.453861: 16647
cwnd 0.454491: 16653
cwnd 0.455122: 16659
cwnd 0.455752: 16665
cwnd 0.456382: 16671
cwnd 0.457013: 16677
cwnd 0.457643: 16683
cwnd 0.458274: 16689
cwnd 0.458904: 16695
cwnd 0.459534: 16701
cwnd 0.460165: 16707
cwnd 0.460795: 16713
cwnd 0.461426: 16719
cwnd 0.462056: 16725
cwnd 0.462686: 16731
cwnd 0.463317: 16737
cwnd 0.463947: 16743
cwnd 0.464578: 16749
cwnd 0.465208: 16755
cwnd 0.465838: 16761
cwnd 0.466469: 16767
cwnd 0.467099: 16773
cwnd 0.46773: 16779
cwnd 0.46836: 16785
cwnd 0.46899: 16791
cwnd 0.469621: 16797
cwnd 0.470251: 16803
cwnd 0.470882: 16809
cwnd 0.471512: 16815
cwnd 0.472142: 16821
cwnd 0.472773: 16827
cwnd 0.473403: 16833
cwnd 0.474034: 16839
cwnd 0.474664: 16845
cwnd 0.475294: 16851
cwnd 0.475925: 16857
cwnd 0.476555: 16863
cwnd 0.477186: 16869
cwnd 0.477816: 16875
cwnd 0.478446: 16881
cwnd 0.479077: 16887
cwnd 0.479707: 16893
cwnd 0.480338: 16899
cwnd 0.480968: 16905
cwnd 0.481598: 16911
cwnd 0.482229: 16917
cwnd 0.482859: 16923
cwnd 0.48349: 16929
cwnd 0.48412: 16935
cwnd 0.48475: 16941
cwnd 0.485381: 16947
cwnd 0.486011: 16953
cwnd 0.486642: 16959
cwnd 0.487272: 16965
cwnd 0.487902: 16971
cwnd 0.488533: 16977
cwnd 0.489163: 16983
cwnd 0.489794: 16989
cwnd 0.490424: 16995
cwnd 0.491054: 17001
cwnd 0.491685: 17007
cwnd 0.492315: 17013
cwnd 0.492946: 17019
cwnd 0.493576: 17025
cwnd 0.494206: 17031
cwnd 0.494837: 17037
cwnd 0.495467: 17043
